"業種(飲食業）","業種（宿泊業）","施設名称","施設名称カナ","施設郵便番号","施設住所","施設住所(方書)","認証日","施設住所市町村"
"〇","","天ぷら　つゆ木","テンプラ　ツユキ","9940026","天童市東本町2-11-5","","2021/10/25","天童市"
"〇","","天ぷら　山寺　ホテルアーバングレイスグラン1Ｆ","テンプラ　ヤマデラ　ホテルアーバングレイスグラン1F","9900039","山形市香澄町1-18-12","","2021/08/16","山形市"
"〇","","てんぷら㐂八","テンプラキハチ","9900042","山形市七日町4-10-21","","2021/06/23","山形市"
"","〇","展望露天の湯 有馬館","テンボウロテンノユアリマカン","9993141","上山市新湯6-5","","2021/05/08","上山市"
"〇","","天竜飯店","テンリュウハンテン","9993143","上山市二日町8-2","","2021/07/30","上山市"
"〇","","出逢いの館","デアイノヤカタ","9960025","新庄市若葉町16-29","","2021/06/08","新庄市"
"〇","","Daizycafe","デイジーカフェ","9920045","米沢市中央2-8-36","","2021/10/05","米沢市"
"〇","","デザート王国イオンモール天童店","デザートオウコクイオンモールテンドウテン","9940082","天童市芳賀タウン北4-1-1","","2021/10/13","天童市"
"〇","","DEPO-ZITTO&cafe de depo","デポージットアンドカフェドデポ","9900039","山形市香澄町1-9-1","珍味ビル3F","2021/09/07","山形市"
"〇","","デリカショップかん","デリカショップカン","9996101","最上町大字向町552","","2021/07/27","最上町"
"〇","","伝承そば処　みちのく亭","デンショウソバドコロ　ミチノクテイ","9900039","山形市香澄町3-2-1","山交ビルB1F","2021/07/26","山形市"
"〇","","伝説のすた丼屋 山形飯田バイパス店","デンセツノスタドンヤ　ヤマガタイイダバイパステン","9902332","山形市飯田1-1-12","","2021/09/29","山形市"
"〇","","伝説のすた丼屋 山形西バイパス店","デンセツノスタドンヤ　ヤマガタニシバイパステン","9902481","山形市あかねヶ丘1-3-15","","2021/09/29","山形市"
"〇","","伝説のすた丼屋　米沢春日店","デンセツノスタドンヤ　ヨネザワカスガテン","9920044","米沢市春日4-2-98","","2021/10/04","米沢市"
"〇","","といや　ほなみ分店","トイヤ　ホナミブンテン","9910028","寒河江市ほなみ３-10-25","","2021/08/27","寒河江市"
"〇","","トゥールモンド　焙煎工房花樹有","トゥールモンド　バイセンコウボウカジュアル","9902483","山形市上町5-2-1","","2021/08/20","山形市"
"〇","","藤右ェ門","トウエモン","9998438","遊佐町比子白木23-183","","2021/10/01","遊佐町"
"〇","","桃華楼支店","トウカロウシテン","9930053","長井市中道2-7-12","","2021/10/15","長井市"
"","〇","東京第一ホテル鶴岡","トウキョウダイイチホテルツルオカ","9970031","鶴岡市錦町2-10","","2021/07/21","鶴岡市"
"〇","","東京第一ホテル鶴岡　レストラン　モナミ","トウキョウダイイチホテルツルオカ　レストラン　モナミ","9970031","鶴岡市錦町2-10","","2021/07/21","鶴岡市"
"〇","","とうふ工房清流庵","トウフコウボウセイリュウアン","9910002","寒河江市字下河原76-1","","2021/07/13","寒河江市"
"","〇","東横イン山形駅西口","トウヨコインヤマガタエキニシグチ","9900827","山形市城南町1-18-13","","2021/05/27","山形市"
"","〇","東横イン米沢駅前","トウヨコインヨネザワエキマエ","9920026","米沢市東3-5-28","","2021/07/05","米沢市"
"〇","","遠山茶屋　Harmony","トオヤマチャヤ　ハーモニー","9920066","米沢市遠山町842-1","","2021/10/13","米沢市"
"〇","","登起波分店　登","トキワブンテン　ノボル","9920012","米沢市金池5-10-21","","2021/08/20","米沢市"
"〇","","土佐や","トサヤ","9960028","新庄市万場町8-10","","2021/10/14","新庄市"
"〇","","戸沢藩船番所","トザワハンフナバンショ","9996401","戸沢村大字古口86-1","","2021/09/02","戸沢村"
"〇","","戸城","トジョウ","9996313","戸沢村向名高1593-302","","2021/09/24","戸沢村"
"〇","","特急寿し","トッキュウズシ","9920031","米沢市大町5-4-22","","2021/08/02","米沢市"
"〇","","ととや三代目","トトヤサンダイメ","9992211","南陽市赤湯3050","","2021/09/24","南陽市"
"〇","","TRAUM（トラウム）","トラウム","9900039","山形市香澄町1-13-17　2Ｆ","","2021/07/07","山形市"
"〇","","トラットリア　ノンノ","トラットリア　ノンノ","9960112","新庄市本合海1802-24","","2021/07/02","新庄市"
"〇","","トラットリア　ピッツェリア　ボーノ","トラットリア　ピッツェリア　ボーノ","9900025","山形市あこや町2-2-32","","2021/06/30","山形市"
"〇","","とらんすぱらん","トランスパラン","9970014","鶴岡市大宝寺町8-20","","2021/07/12","鶴岡市"
"〇","","鳥縁","トリエン","9902431","山形市松見町20-10","","2021/10/11","山形市"
"〇","","鳥和","トリカズ","9900881","山形市瀬波3-7-42","","2021/08/17","山形市"
"〇","","鳥清やまがた","トリセイヤマガタ","9900051","山形市銅町2-2-22","","2021/09/22","山形市"
"〇","","鳥せん","トリセン","9900039","山形市香澄町2-8-29","","2021/07/08","山形市"
"〇","","とりとぶた","トリトブタ","9900039","山形市香澄町1-9-10","大久保ビル2F","2021/09/27","山形市"
"〇","","鳥春","トリハル","9900031","山形市十日町2-3-44","","2021/10/01","山形市"
"〇","","鶏やあさぎ","トリヤアサギ","9900039","山形市香澄町1-21-28","","2021/06/11","山形市"
"〇","","鶏料理　慶～KEI～","トリリョウリ　ケイ","9970034","鶴岡市本町1-5-35","","2021/07/09","鶴岡市"
"〇","","トレンタ　山形北店","トレンタ　ヤマガタキタテン","9900885","山形市嶋北2-5-17","フレスポ山形北","2021/08/11","山形市"
"〇","","トレンタ　山形南店","トレンタ　ヤマガタミナミテン","9902435","山形市青田4-1-38","","2021/08/04","山形市"
"〇","","とんかつ　三州屋","トンカツ　サンシュウヤ","9940014","天童市糠塚2-8-28","","2021/08/10","天童市"
"〇","","とんかつ浅野","トンカツアサノ","9900085","山形市嶋北2-21-11","","2021/08/05","山形市"
"〇","","とんかつかつMI　山形南館店","トンカツカツミ　ヤマガタミナミダテテン","9902461","山形市南館5-7-33","","2021/06/11","山形市"
"〇","","とんかつ山道","トンカツヤマミチ","9993705","東根市宮崎1-7-7","","2021/09/07","東根市"
"〇","","とん八　イオンタウン南陽店","トンパチ　イオンタウンナンヨウテン","9992211","南陽市赤湯2871-3","","2021/10/04","南陽市"
"〇","","とん八 寒河江店","トンパチ　サガエテン","9910003","寒河江市西根字上川原226-2","","2021/10/06","寒河江市"
"〇","","とん八 さくらんぼ東根駅前店","トンパチ　サクランボヒガシネエキマエテン","9993720","東根市さくらんぼ駅前3-1-23","","2021/10/05","東根市"
"〇","","とん八　新庄駅東口店","トンパチ　シンジョウエキヒガシグチテン","9960002","新庄市金沢字中村2893","","2021/09/27","新庄市"
"〇","","とん八 本店","トンパチ　ホンテン","9902461","山形市南館2-1-2","","2021/09/30","山形市"
"〇","","とん八 山形北インター店","トンパチ　ヤマガタキタインターテン","9900071","山形市流通センター4-7-2","","2021/09/30","山形市"
"〇","","とん八　山形嶋店","トンパチ　ヤマガタシマテン","9900885","山形市嶋北2-15-3","","2021/07/15","山形市"
